,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,yol5kxjy,1,https://www.speedrun.com/sm64/run/yol5kxjy,2023-03-23T06:20:48Z,875.5,875.5,jn32931x,Suigi,Canada,N64,Yes
1,zppddvxz,2,https://www.speedrun.com/sm64/run/zppddvxz,2023-11-25T16:02:09Z,881.21,881.21,1xypyovx,Slipperynip,United States,N64,Yes
2,me0pw13z,3,https://www.speedrun.com/sm64/run/me0pw13z,2024-01-18T12:05:31Z,885.21,885.21,kjprmwk8,Weegee,United States,N64,Yes
3,y60jnn0y,4,https://www.speedrun.com/sm64/run/y60jnn0y,2022-07-06T19:10:40Z,892.0,892.0,x353dr7j,Finnii602,Germany,VC,Yes
4,megodl0y,5,https://www.speedrun.com/sm64/run/megodl0y,2024-07-31T00:10:43Z,893.4,893.4,48g979rx,GTM,Antarctica,N64,Yes
5,ywj1gg9z,6,https://www.speedrun.com/sm64/run/ywj1gg9z,2021-12-09T16:44:16Z,895.81,895.81,kj92gmv8,Dowsky,United States,N64,Yes
6,ydne25xm,7,https://www.speedrun.com/sm64/run/ydne25xm,2024-04-03T19:54:11Z,895.94,895.94,j2www16j,treybordo,United States,N64,Yes
7,m7w9p0ez,8,https://www.speedrun.com/sm64/run/m7w9p0ez,2021-12-06T01:20:55Z,896.22,896.22,7j40gpw8,MANNO,Japan,N64,Yes
8,mkv9n63y,9,https://www.speedrun.com/sm64/run/mkv9n63y,2022-12-16T23:55:34Z,896.33,896.33,8vkrw22j,Tag609,United States,N64,Yes
9,znx1l88y,10,https://www.speedrun.com/sm64/run/znx1l88y,2024-08-16T08:52:06Z,896.53,896.53,qxkqkmmx,xandrey64,Costa Rica,N64,Yes
10,y86rxp5m,11,https://www.speedrun.com/sm64/run/y86rxp5m,2023-05-29T17:17:59Z,897.46,897.46,e8evzg7x,gamiru,Japan,N64,Yes
11,yv8qgoom,12,https://www.speedrun.com/sm64/run/yv8qgoom,2023-01-23T23:25:36Z,898.0,898.0,jmolpwo8,Raisn,Germany,EMU,Yes
12,znv35k3m,13,https://www.speedrun.com/sm64/run/znv35k3m,2023-05-31T13:30:57Z,898.1,898.1,jpmk03yj,Zapy,Japan,N64,Yes
13,mk13woly,14,https://www.speedrun.com/sm64/run/mk13woly,2024-07-30T15:29:57Z,898.89,898.89,8wkzer38,Parsee02,Japan,N64,Yes
14,znko377z,15,https://www.speedrun.com/sm64/run/znko377z,2020-05-10T08:36:48Z,899.33,899.33,0jml0zy8,akki,Japan,N64,Yes
15,yvxnqjez,16,https://www.speedrun.com/sm64/run/yvxnqjez,2024-10-12T22:03:07Z,902.0,902.0,xkmnnmmj,ZUMMI,Italy,EMU,Yes
16,mr20o6dy,17,https://www.speedrun.com/sm64/run/mr20o6dy,2024-01-05T22:10:02Z,904.73,904.73,7j4mzd5j,Thomkar,Norway,N64,Yes
17,yj9jj23z,18,https://www.speedrun.com/sm64/run/yj9jj23z,2024-07-05T20:58:52Z,904.83,904.83,zxzn3w9x,spener1122,Canada,N64,Yes
18,zgojdojm,19,https://www.speedrun.com/sm64/run/zgojdojm,2024-10-13T02:03:58Z,906.25,906.25,1xy05zjr,turara32767,Japan,N64,Yes
19,y8kojlwy,20,https://www.speedrun.com/sm64/run/y8kojlwy,2024-01-05T05:58:14Z,906.73,906.73,qj2rklpx,cjrokokomero,Italy,N64,Yes
20,zpw506ry,21,https://www.speedrun.com/sm64/run/zpw506ry,2023-08-08T21:52:14Z,908.63,908.63,j4rpn7d8,Nils,Sweden,N64,Yes
21,m36394wm,22,https://www.speedrun.com/sm64/run/m36394wm,2022-01-18T20:20:29Z,909.0,909.0,8wlk4n4j,Kaimatix,England,EMU,Yes
22,y98l6wkz,22,https://www.speedrun.com/sm64/run/y98l6wkz,2023-06-22T16:13:52Z,909.0,909.0,o86vrqpj,Joshua_iz_drunk,Ireland,EMU,Yes
23,y4le92kz,22,https://www.speedrun.com/sm64/run/y4le92kz,2024-07-31T18:36:28Z,909.0,909.0,jm3lqln8,Mauir,Chile,EMU,Yes
24,zqq3ol1z,25,https://www.speedrun.com/sm64/run/zqq3ol1z,2024-07-21T05:11:09Z,909.64,909.64,18q652oj,Poke,United States,N64,Yes
25,zgqk9l0y,26,https://www.speedrun.com/sm64/run/zgqk9l0y,2022-08-11T13:53:17Z,910.0,910.0,xyrqdwmj,Zhilkan,Spain,EMU,Yes
26,y4kk6knm,27,https://www.speedrun.com/sm64/run/y4kk6knm,2023-12-18T22:22:19Z,912.0,912.0,kj9z6pn8,Sunnard,France,EMU,Yes
27,mrx6l3dm,27,https://www.speedrun.com/sm64/run/mrx6l3dm,2024-08-25T12:05:47Z,912.0,912.0,8ew0dk28,NotGorilla,Sweden,EMU,Yes
28,yojl4j5m,29,https://www.speedrun.com/sm64/run/yojl4j5m,2019-10-28T08:42:20Z,912.67,912.67,5j52dgqj,lunarjump,United States,N64,Yes
29,z1p04l9z,30,https://www.speedrun.com/sm64/run/z1p04l9z,2022-07-17T17:59:23Z,913.66,913.66,v814mkp8,cheese,Spain,N64,Yes
30,m7x80r4y,31,https://www.speedrun.com/sm64/run/m7x80r4y,2022-08-21T17:24:28Z,913.83,913.83,18v62qyx,Benji64,Austria,N64,Yes
31,z5gj6k5m,32,https://www.speedrun.com/sm64/run/z5gj6k5m,2024-07-30T19:33:22Z,914.56,914.56,86nnlvqx,Banova8,France,N64,Yes
32,zx6jr85z,33,https://www.speedrun.com/sm64/run/zx6jr85z,2021-03-17T16:49:20Z,916.0,916.0,1xy9p1vj,taihou,Japan,EMU,Yes
33,me10ww3y,34,https://www.speedrun.com/sm64/run/me10ww3y,2022-09-28T06:07:24Z,916.78,916.78,8qzmp678,Jaybomb,United States,N64,Yes
34,ylx51g2y,35,https://www.speedrun.com/sm64/run/ylx51g2y,2024-10-27T04:27:50Z,917.75,917.75,81611olx,phyxius6,United States,N64,Yes
35,ydllg7xz,36,https://www.speedrun.com/sm64/run/ydllg7xz,2024-10-07T00:56:53Z,917.76,917.76,8d4ywn58,vitroncio,Brazil,N64,Yes
36,y81vwdnz,37,https://www.speedrun.com/sm64/run/y81vwdnz,2019-08-09T04:56:58Z,918.0,918.0,48gqo07j,darkdog47,United States,VC,Yes
37,mkkp5lvm,37,https://www.speedrun.com/sm64/run/mkkp5lvm,2022-06-23T06:04:14Z,918.0,918.0,jo2mr9n8,marlene,,N64,Yes
38,mk90d41z,39,https://www.speedrun.com/sm64/run/mk90d41z,2018-12-14T09:48:21Z,918.05,918.05,zxzk1q9x,ikori_o,Japan,N64,Yes
39,y23o4v5m,40,https://www.speedrun.com/sm64/run/y23o4v5m,2018-05-03T11:10:23Z,919.55,919.55,98r61l38,YuraMofu,Japan,N64,Yes
40,yj8jnodm,41,https://www.speedrun.com/sm64/run/yj8jnodm,2022-12-02T03:46:32Z,919.86,919.86,dx35192j,Dezanig,Brazil,N64,Yes
41,y4645e2z,42,https://www.speedrun.com/sm64/run/y4645e2z,2024-06-18T02:20:39Z,920.3,920.3,y8dz54gj,Maosfx,United States,N64,Yes
42,zpd7w2vz,43,https://www.speedrun.com/sm64/run/zpd7w2vz,2022-11-23T17:48:23Z,920.31,920.31,j0nmelr8,carrickdan,Ireland,N64,Yes
43,yj508ldm,44,https://www.speedrun.com/sm64/run/yj508ldm,2021-11-21T04:47:26Z,921.33,921.33,zxze2zex,Flixer,United States,N64,Yes
44,zqdvn1rm,45,https://www.speedrun.com/sm64/run/zqdvn1rm,2023-11-05T01:48:59Z,922.0,922.0,j0324nmj,MrDasho,Ecuador,EMU,Yes
45,z52pd7gz,46,https://www.speedrun.com/sm64/run/z52pd7gz,2022-06-13T22:35:39Z,922.81,922.81,dx3wpl2j,MrJimmysteel25,United States,N64,Yes
46,8m72x69z,47,https://www.speedrun.com/sm64/run/8m72x69z,2016-05-07T15:56:01Z,924.33,924.33,o866w58z,Xiah,Japan,N64,Yes
47,ylx0wxny,48,https://www.speedrun.com/sm64/run/ylx0wxny,2024-07-26T04:32:52Z,924.9,924.9,8vkqwknj,GroundPoundGary,United States,N64,Yes
48,m33e8dqm,49,https://www.speedrun.com/sm64/run/m33e8dqm,2022-07-28T15:21:05Z,925.52,925.52,j2ylqn68,Karin,Japan,N64,Yes
49,mrv2odgz,50,https://www.speedrun.com/sm64/run/mrv2odgz,2024-05-10T02:12:52Z,926.0,926.0,zxzqlnrx,Cysse,France,EMU,Yes
50,zpxr19nm,50,https://www.speedrun.com/sm64/run/zpxr19nm,2024-07-28T07:37:50Z,926.0,926.0,98rky4qx,BigCheese,United States,VC,Yes
51,yjx2rrdz,52,https://www.speedrun.com/sm64/run/yjx2rrdz,2022-02-05T16:33:22Z,926.4,926.4,qj2y1r68,JJsrl,United States,N64,Yes
52,yo01q97y,53,https://www.speedrun.com/sm64/run/yo01q97y,2024-07-03T23:44:03Z,926.85,926.85,0jm36qe8,Xein64,Germany,N64,Yes
53,zg21rxey,54,https://www.speedrun.com/sm64/run/zg21rxey,2023-03-30T17:12:16Z,927.0,927.0,jnz2ykqj,ShaDowSPoweR,France,EMU,Yes
54,m733v75y,55,https://www.speedrun.com/sm64/run/m733v75y,2023-12-19T23:30:16Z,927.28,927.28,x35d1dqj,mystic400,Norway,N64,Yes
55,zg887xey,56,https://www.speedrun.com/sm64/run/zg887xey,2023-12-15T04:01:38Z,927.38,927.38,pj0l653j,FailmanFlo,Germany,N64,Yes
56,mex90e3z,57,https://www.speedrun.com/sm64/run/mex90e3z,2019-08-08T20:38:47Z,927.92,927.92,1xyldrvj,anti,,N64,Yes
57,mexek9qz,58,https://www.speedrun.com/sm64/run/mexek9qz,2019-10-28T12:26:41Z,928.83,928.83,o862d3xz,Biinny,England,N64,Yes
58,mk2jrdlm,59,https://www.speedrun.com/sm64/run/mk2jrdlm,2020-03-21T06:51:31Z,929.0,929.0,dx35yzej,TriforceTK,United States,EMU,Yes
59,zgl8o4em,60,https://www.speedrun.com/sm64/run/zgl8o4em,2024-05-10T23:12:22Z,929.03,929.03,98rl4w38,HorrorDoesSpeedRuns,United States,N64,Yes
60,pm3g2g6z,61,https://www.speedrun.com/sm64/run/pm3g2g6z,2015-07-30T06:58:05Z,929.36,929.36,,,,N64,Yes
61,zp90dprm,62,https://www.speedrun.com/sm64/run/zp90dprm,2022-04-17T05:42:09Z,929.83,929.83,v8lgdovj,Drac,Brazil,N64,Yes
62,mr4p3e7z,63,https://www.speedrun.com/sm64/run/mr4p3e7z,2021-04-01T22:49:08Z,930.0,930.0,98r294wx,CapnSR,Canada,VC,Yes
63,yo0wog1y,63,https://www.speedrun.com/sm64/run/yo0wog1y,2024-06-27T16:11:38Z,930.0,930.0,7j47lplj,dumpdome64,United States,EMU,Yes
64,yvx70jez,63,https://www.speedrun.com/sm64/run/yvx70jez,2024-10-20T01:34:35Z,930.0,930.0,xyrdnrnj,Chemus,Brazil,EMU,Yes
65,z1rkonrm,66,https://www.speedrun.com/sm64/run/z1rkonrm,2021-06-13T19:38:18Z,930.16,930.16,zx76v0j7,Taggo,Sweden,N64,Yes
66,zx6x8eqz,67,https://www.speedrun.com/sm64/run/zx6x8eqz,2021-03-12T03:26:22Z,930.33,930.33,x354692j,manxmud,United States,N64,Yes
67,ywnk7lpy,68,https://www.speedrun.com/sm64/run/ywnk7lpy,2023-11-05T15:46:00Z,930.4,930.4,0jmo9zn8,Redmoss,United States,N64,Yes
68,ylxlv43y,69,https://www.speedrun.com/sm64/run/ylxlv43y,2024-09-21T18:54:18Z,931.0,931.0,8dpn5mg8,tiles_,Ireland,EMU,Yes
69,z0jo824y,70,https://www.speedrun.com/sm64/run/z0jo824y,2023-06-23T15:59:33Z,931.36,931.36,8vo90m5x,Nicolascs83,Spain,N64,Yes
70,zxo5j98z,71,https://www.speedrun.com/sm64/run/zxo5j98z,2021-11-05T02:38:48Z,931.56,931.56,qxk4wo6j,saksdal,United States,N64,Yes
71,yvvddv6y,72,https://www.speedrun.com/sm64/run/yvvddv6y,2024-02-06T00:04:35Z,932.0,932.0,v816eo5x,Soda,,VC,Yes
72,m7d3r6wm,73,https://www.speedrun.com/sm64/run/m7d3r6wm,2021-06-16T14:55:34Z,932.06,932.06,kjpqy9yx,Gainai,Germany,N64,Yes
73,m3l40vgm,73,https://www.speedrun.com/sm64/run/m3l40vgm,2023-04-08T02:03:32Z,932.06,932.06,x35rvpkj,Scythamer,United States,N64,Yes
74,yoxv4k1y,75,https://www.speedrun.com/sm64/run/yoxv4k1y,2024-07-06T00:41:45Z,933.0,933.0,81q1oq5j,Ian_1243,Peru,N64,Yes
75,y25dx8jy,76,https://www.speedrun.com/sm64/run/y25dx8jy,2020-05-03T13:46:58Z,933.13,933.13,zxzpz50j,Fafel,Japan,N64,Yes
76,y6vl5p0m,77,https://www.speedrun.com/sm64/run/y6vl5p0m,2024-03-02T01:09:02Z,933.35,933.35,18q6977j,Burnito,France,N64,Yes
77,zgqq7o0y,78,https://www.speedrun.com/sm64/run/zgqq7o0y,2022-09-09T17:14:00Z,933.43,933.43,kjpqrr4x,Goldrush,Japan,N64,Yes
78,z07xvv9y,79,https://www.speedrun.com/sm64/run/z07xvv9y,2021-10-07T23:17:32Z,933.99,933.99,o86nzl0x,Xoofey,United States,N64,Yes
79,z0xlo2oz,80,https://www.speedrun.com/sm64/run/z0xlo2oz,2023-11-25T00:00:29Z,934.0,934.0,8e6k1loj,PhoenixAUS,,VC,Yes
80,z0q02w9m,80,https://www.speedrun.com/sm64/run/z0q02w9m,2024-10-22T17:01:35Z,934.0,934.0,8dpk11l8,TheBest2272,Spain,EMU,Yes
81,mrx49n7m,82,https://www.speedrun.com/sm64/run/mrx49n7m,2024-08-07T07:27:15Z,934.06,934.06,8w139m3x,oatslice,Australia,N64,Yes
82,y2go7kjz,83,https://www.speedrun.com/sm64/run/y2go7kjz,2023-08-27T13:57:24Z,934.76,934.76,68wwn48g,Mitagi,Japan,N64,Yes
